epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,289056320.0,,
0,1,,,,288427744.0,,
0,2,,,,254835328.0,,
0,3,,,,211427760.0,,
,0,,,,,,268768000.0
0,3,,,,,268768000.0,
0,3,,,268777568.0,,,
1,4,,,,289055552.0,,
1,5,,,,288426944.0,,
1,6,,,,254834608.0,,
1,7,,,,211427040.0,,
,1,,,,,,268767072.0
1,7,,,,,268767072.0,
1,7,,,268776832.0,,,
2,8,,,,289054560.0,,
2,9,,,,288425856.0,,
2,10,,,,254833456.0,,
2,11,,,,211425936.0,,
,2,,,,,,268765536.0
2,11,,,,,268765536.0,
2,11,,,268775744.0,,,
3,12,,,,289052928.0,,
3,13,,,,288424000.0,,
3,14,,,,254831504.0,,
3,15,,,,211423952.0,,
,3,,,,,,268762752.0
3,15,,,,,268762752.0,
3,15,,,268773920.0,,,
4,16,,,,289049952.0,,
4,17,,,,288420512.0,,
4,18,,,,254827760.0,,
4,19,,,,211420160.0,,
,4,,,,,,268757376.0
4,19,,,,,268757376.0,
4,19,,,268770464.0,,,
5,20,,,,289044256.0,,
5,21,,,,288413792.0,,
5,22,,,,254820480.0,,
5,23,,,,211412576.0,,
,5,,,,,,268747008.0
5,23,,,,,268747008.0,
5,23,,,268763776.0,,,
6,24,,,,289033408.0,,
6,25,,,,288400672.0,,
6,26,,,,254806464.0,,
6,27,,,,211398336.0,,
,6,,,,,,268727168.0
6,27,,,,,268727168.0,
6,27,,,268750912.0,,,
7,28,,,,289012512.0,,
7,29,,,,288376480.0,,
7,30,,,,254780752.0,,
7,31,,,,211372192.0,,
,7,,,,,,268689536.0
7,31,,,,,268689536.0,
7,31,,,268726944.0,,,
8,32,,,,288972352.0,,
8,33,,,,288329184.0,,
8,34,,,,254730112.0,,
8,35,,,,211322000.0,,
,8,,,,,,268619360.0
8,35,,,,,268619360.0,
8,35,,,268680352.0,,,
9,36,,,,288899136.0,,
9,37,,,,288242464.0,,
9,38,,,,254641328.0,,
9,39,,,,211235056.0,,
,9,,,,,,268494112.0
9,39,,,,,268494112.0,
9,39,,,268596960.0,,,
