epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,3453964800.0,,
0,1,,,,3440601088.0,,
0,2,,,,2893366528.0,,
0,3,,,,2471174400.0,,
,0,,,,,,3158802944.0
0,3,,,,,3158802944.0,
0,3,,,3158786304.0,,,
1,4,,,,3453960960.0,,
1,5,,,,3440597248.0,,
1,6,,,,2893363200.0,,
1,7,,,,2471171072.0,,
,1,,,,,,3158798336.0
1,7,,,,,3158798336.0,
1,7,,,3158782464.0,,,
2,8,,,,3453956608.0,,
2,9,,,,3440592384.0,,
2,10,,,,2893357824.0,,
2,11,,,,2471165696.0,,
,2,,,,,,3158791168.0
2,11,,,,,3158791168.0,
2,11,,,3158777600.0,,,
3,12,,,,3453949440.0,,
3,13,,,,3440584192.0,,
3,14,,,,2893348864.0,,
3,15,,,,2471155712.0,,
,3,,,,,,3158779136.0
3,15,,,,,3158779136.0,
3,15,,,3158769408.0,,,
4,16,,,,3453936384.0,,
4,17,,,,3440569088.0,,
4,18,,,,2893332480.0,,
4,19,,,,2471138560.0,,
,4,,,,,,3158755840.0
4,19,,,,,3158755840.0,
4,19,,,3158754304.0,,,
5,20,,,,3453911808.0,,
5,21,,,,3440540672.0,,
5,22,,,,2893303040.0,,
5,23,,,,2471106560.0,,
,5,,,,,,3158712832.0
5,23,,,,,3158712832.0,
5,23,,,3158726144.0,,,
6,24,,,,3453867264.0,,
6,25,,,,3440488960.0,,
6,26,,,,2893247744.0,,
6,27,,,,2471044864.0,,
,6,,,,,,3158634752.0
6,27,,,,,3158634752.0,
6,27,,,3158673920.0,,,
7,28,,,,3453786112.0,,
7,29,,,,3440419584.0,,
7,30,,,,2893200640.0,,
7,31,,,,2471016192.0,,
,7,,,,,,3158623744.0
7,31,,,,,3158623744.0,
7,31,,,3158612992.0,,,
8,32,,,,3453771520.0,,
8,33,,,,3440408576.0,,
8,34,,,,2893187072.0,,
8,35,,,,2471006976.0,,
,8,,,,,,3158611456.0
8,35,,,,,3158611456.0,
8,35,,,3158600704.0,,,
9,36,,,,3453760256.0,,
9,37,,,,3440395008.0,,
9,38,,,,2893175808.0,,
9,39,,,,2470991872.0,,
,9,,,,,,3158598144.0
9,39,,,,,3158598144.0,
9,39,,,3158587904.0,,,
10,40,,,,3453748736.0,,
10,41,,,,3440379392.0,,
10,42,,,,2893162496.0,,
10,43,,,,2470982400.0,,
,10,,,,,,3158584064.0
10,43,,,,,3158584064.0,
10,43,,,3158575104.0,,,
11,44,,,,3453731328.0,,
11,45,,,,3440366336.0,,
11,46,,,,2893148928.0,,
11,47,,,,2470971392.0,,
,11,,,,,,3158568960.0
11,47,,,,,3158568960.0,
11,47,,,3158561024.0,,,
12,48,,,,3453716736.0,,
12,49,,,,3440346368.0,,
12,50,,,,2893132288.0,,
12,51,,,,2470954240.0,,
,12,,,,,,3158552576.0
12,51,,,,,3158552576.0,
12,51,,,3158543616.0,,,
13,52,,,,3453699584.0,,
13,53,,,,3440334848.0,,
13,54,,,,2893124352.0,,
13,55,,,,2470951936.0,,
,13,,,,,,3158551040.0
13,55,,,,,3158551040.0,
13,55,,,3158532608.0,,,
14,56,,,,3453696000.0,,
14,57,,,,3440332544.0,,
14,58,,,,2893123072.0,,
14,59,,,,2470947328.0,,
,14,,,,,,3158549248.0
14,59,,,,,3158549248.0,
14,59,,,3158530304.0,,,
15,60,,,,3453697280.0,,
15,61,,,,3440333312.0,,
15,62,,,,2893122304.0,,
15,63,,,,2470947072.0,,
,15,,,,,,3158547712.0
15,63,,,,,3158547712.0,
15,63,,,3158530560.0,,,
16,64,,,,3453692672.0,,
16,65,,,,3440328704.0,,
16,66,,,,2893120256.0,,
16,67,,,,2470945792.0,,
,16,,,,,,3158545920.0
16,67,,,,,3158545920.0,
16,67,,,3158527488.0,,,
17,68,,,,3453690624.0,,
17,69,,,,3440331008.0,,
17,70,,,,2893118720.0,,
17,71,,,,2470945536.0,,
,17,,,,,,3158544384.0
17,71,,,,,3158544384.0,
17,71,,,3158526720.0,,,
18,72,,,,3453691904.0,,
18,73,,,,3440327680.0,,
18,74,,,,2893118720.0,,
18,75,,,,2470941696.0,,
,18,,,,,,3158542592.0
18,75,,,,,3158542592.0,
18,75,,,3158525696.0,,,
19,76,,,,3453687040.0,,
19,77,,,,3440325888.0,,
19,78,,,,2893115136.0,,
19,79,,,,2470944000.0,,
,19,,,,,,3158542592.0
19,79,,,,,3158542592.0,
19,79,,,3158522880.0,,,
20,80,,,,3453688576.0,,
20,81,,,,3440325888.0,,
20,82,,,,2893114880.0,,
20,83,,,,2470942464.0,,
,20,,,,,,3158542592.0
20,83,,,,,3158542592.0,
20,83,,,3158523136.0,,,
21,84,,,,3453689856.0,,
21,85,,,,3440324352.0,,
21,86,,,,2893117696.0,,
21,87,,,,2470943744.0,,
,21,,,,,,3158542336.0
21,87,,,,,3158542336.0,
21,87,,,3158524160.0,,,
22,88,,,,3453686528.0,,
22,89,,,,3440327680.0,,
22,90,,,,2893116928.0,,
22,91,,,,2470941696.0,,
,22,,,,,,3158542080.0
22,91,,,,,3158542336.0,
22,91,,,3158523904.0,,,
23,92,,,,3453687808.0,,
23,93,,,,3440325376.0,,
23,94,,,,2893115648.0,,
23,95,,,,2470941952.0,,
,23,,,,,,3158541824.0
23,95,,,,,3158541824.0,
23,95,,,3158522880.0,,,
24,96,,,,3453688576.0,,
24,97,,,,3440325120.0,,
24,98,,,,2893115648.0,,
24,99,,,,2470941440.0,,
,24,,,,,,3158541824.0
24,99,,,,,3158541824.0,
24,99,,,3158522880.0,,,
25,100,,,,3453689856.0,,
25,101,,,,3440323328.0,,
25,102,,,,2893116672.0,,
25,103,,,,2470940416.0,,
,25,,,,,,3158541824.0
25,103,,,,,3158541824.0,
25,103,,,3158522880.0,,,
26,104,,,,3453688576.0,,
26,105,,,,3440322560.0,,
26,106,,,,2893115648.0,,
26,107,,,,2470940928.0,,
,26,,,,,,3158541824.0
26,107,,,,,3158541824.0,
26,107,,,3158522112.0,,,
27,108,,,,3453689088.0,,
27,109,,,,3440323840.0,,
27,110,,,,2893115136.0,,
27,111,,,,2470942976.0,,
,27,,,,,,3158541824.0
27,111,,,,,3158541824.0,
27,111,,,3158522624.0,,,
28,112,,,,3453686272.0,,
28,113,,,,3440326656.0,,
28,114,,,,2893117440.0,,
28,115,,,,2470943744.0,,
,28,,,,,,3158541824.0
28,115,,,,,3158541824.0,
28,115,,,3158523648.0,,,
29,116,,,,3453687040.0,,
29,117,,,,3440325376.0,,
29,118,,,,2893116928.0,,
29,119,,,,2470940928.0,,
,29,,,,,,3158541824.0
29,119,,,,,3158541824.0,
29,119,,,3158522880.0,,,
30,120,,,,3453686528.0,,
30,121,,,,3440324608.0,,
30,122,,,,2893115136.0,,
30,123,,,,2470940416.0,,
,30,,,,,,3158541824.0
30,123,,,,,3158541824.0,
30,123,,,3158522112.0,,,
31,124,,,,3453684992.0,,
31,125,,,,3440324608.0,,
31,126,,,,2893116672.0,,
31,127,,,,2470939392.0,,
,31,,,,,,3158541824.0
31,127,,,,,3158541824.0,
31,127,,,3158521856.0,,,
32,128,,,,3453685504.0,,
32,129,,,,3440325888.0,,
32,130,,,,2893114112.0,,
32,131,,,,2470944256.0,,
,32,,,,,,3158541824.0
32,131,,,,,3158541824.0,
32,131,,,3158522368.0,,,
33,132,,,,3453686272.0,,
33,133,,,,3440323584.0,,
33,134,,,,2893113600.0,,
33,135,,,,2470944512.0,,
,33,,,,,,3158541824.0
33,135,,,,,3158541824.0,
33,135,,,3158521856.0,,,
34,136,,,,3453688064.0,,
34,137,,,,3440326656.0,,
34,138,,,,2893116416.0,,
34,139,,,,2470941696.0,,
,34,,,,,,3158541824.0
34,139,,,,,3158541824.0,
34,139,,,3158523648.0,,,
35,140,,,,3453687808.0,,
35,141,,,,3440326144.0,,
35,142,,,,2893115904.0,,
35,143,,,,2470938880.0,,
,35,,,,,,3158541824.0
35,143,,,,,3158541824.0,
35,143,,,3158522624.0,,,
36,144,,,,3453686272.0,,
36,145,,,,3440327680.0,,
36,146,,,,2893116416.0,,
36,147,,,,2470941440.0,,
,36,,,,,,3158541824.0
36,147,,,,,3158541824.0,
36,147,,,3158523136.0,,,
37,148,,,,3453690368.0,,
37,149,,,,3440323840.0,,
37,150,,,,2893116160.0,,
37,151,,,,2470941440.0,,
,37,,,,,,3158541824.0
37,151,,,,,3158541824.0,
37,151,,,3158523648.0,,,
38,152,,,,3453689088.0,,
38,153,,,,3440323840.0,,
38,154,,,,2893116672.0,,
38,155,,,,2470938880.0,,
,38,,,,,,3158541824.0
38,155,,,,,3158541824.0,
38,155,,,3158522624.0,,,
39,156,,,,3453688832.0,,
39,157,,,,3440325888.0,,
39,158,,,,2893116928.0,,
39,159,,,,2470943488.0,,
,39,,,,,,3158541824.0
39,159,,,,,3158541824.0,
39,159,,,3158523904.0,,,
40,160,,,,3453684480.0,,
40,161,,,,3440324352.0,,
40,162,,,,2893114112.0,,
40,163,,,,2470941440.0,,
,40,,,,,,3158541824.0
40,163,,,,,3158541824.0,
40,163,,,3158521088.0,,,
41,164,,,,3453688832.0,,
41,165,,,,3440324352.0,,
41,166,,,,2893116160.0,,
41,167,,,,2470945024.0,,
,41,,,,,,3158541824.0
41,167,,,,,3158541824.0,
41,167,,,3158523648.0,,,
42,168,,,,3453689088.0,,
42,169,,,,3440322048.0,,
42,170,,,,2893115136.0,,
42,171,,,,2470939648.0,,
,42,,,,,,3158541824.0
42,171,,,,,3158541824.0,
42,171,,,3158522112.0,,,
43,172,,,,3453685760.0,,
43,173,,,,3440326656.0,,
43,174,,,,2893115136.0,,
43,175,,,,2470939904.0,,
,43,,,,,,3158541824.0
43,175,,,,,3158541824.0,
43,175,,,3158522368.0,,,
,0,,3453687808.0,,,,
,1,,3440325376.0,,,,
