epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,289064704.0,,
0,1,,,,288434720.0,,
0,2,,,,254840800.0,,
0,3,,,,211434112.0,,
,0,,,,,,268774304.0
0,3,,,,,268774304.0,
0,3,,,268784448.0,,,
1,4,,,,289064000.0,,
1,5,,,,288433952.0,,
1,6,,,,254840080.0,,
1,7,,,,211433440.0,,
,1,,,,,,268773440.0
1,7,,,,,268773440.0,
1,7,,,268783712.0,,,
2,8,,,,289063072.0,,
2,9,,,,288432928.0,,
2,10,,,,254839024.0,,
2,11,,,,211432384.0,,
,2,,,,,,268772032.0
2,11,,,,,268772032.0,
2,11,,,268782720.0,,,
3,12,,,,289061632.0,,
3,13,,,,288431232.0,,
3,14,,,,254837296.0,,
3,15,,,,211430672.0,,
,3,,,,,,268769632.0
3,15,,,,,268769632.0,
3,15,,,268781088.0,,,
4,16,,,,289059072.0,,
4,17,,,,288428352.0,,
4,18,,,,254834224.0,,
4,19,,,,211427584.0,,
,4,,,,,,268765408.0
4,19,,,,,268765408.0,
4,19,,,268778208.0,,,
5,20,,,,289054624.0,,
5,21,,,,288423200.0,,
5,22,,,,254828896.0,,
5,23,,,,211422288.0,,
,5,,,,,,268758176.0
5,23,,,,,268758176.0,
5,23,,,268773184.0,,,
6,24,,,,289046976.0,,
6,25,,,,288414496.0,,
6,26,,,,254819808.0,,
6,27,,,,211413344.0,,
,6,,,,,,268745952.0
6,27,,,,,268745952.0,
6,27,,,268764672.0,,,
7,28,,,,289034048.0,,
7,29,,,,288400160.0,,
7,30,,,,254804928.0,,
7,31,,,,211398720.0,,
,7,,,,,,268726112.0
7,31,,,,,268726112.0,
7,31,,,268750528.0,,,
8,32,,,,289013120.0,,
8,33,,,,288376416.0,,
8,34,,,,254780608.0,,
8,35,,,,211375760.0,,
,8,,,,,,268693664.0
8,35,,,,,268693664.0,
8,35,,,268727552.0,,,
9,36,,,,288978336.0,,
9,37,,,,288335936.0,,
9,38,,,,254739648.0,,
9,39,,,,211332784.0,,
,9,,,,,,268638944.0
9,39,,,,,268638944.0,
9,39,,,268688256.0,,,
10,40,,,,288921024.0,,
10,41,,,,288272032.0,,
10,42,,,,254673808.0,,
10,43,,,,211266512.0,,
,10,,,,,,268549600.0
10,43,,,,,268549600.0,
10,43,,,268625376.0,,,
11,44,,,,288828224.0,,
11,45,,,,288163552.0,,
11,46,,,,254563840.0,,
11,47,,,,211163456.0,,
,11,,,,,,268407136.0
11,47,,,,,268407136.0,
11,47,,,268521728.0,,,
12,48,,,,288678880.0,,
12,49,,,,287997632.0,,
12,50,,,,254391824.0,,
12,51,,,,210992320.0,,
,12,,,,,,268181168.0
12,51,,,,,268181152.0,
12,51,,,268358128.0,,,
13,52,,,,288435808.0,,
13,53,,,,287727808.0,,
13,54,,,,254114416.0,,
13,55,,,,210727456.0,,
,13,,,,,,267834672.0
13,55,,,,,267834672.0,
13,55,,,268094528.0,,,
14,56,,,,288078752.0,,
14,57,,,,287326368.0,,
14,58,,,,253718224.0,,
14,59,,,,210364592.0,,
,14,,,,,,267332336.0
14,59,,,,,267332336.0,
14,59,,,267712528.0,,,
