epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,3453964288.0,,
0,1,,,,3440600576.0,,
0,2,,,,2893366016.0,,
0,3,,,,2471174400.0,,
,0,,,,,,3158802432.0
0,3,,,,,3158802432.0,
0,3,,,3158785792.0,,,
1,4,,,,3453960960.0,,
1,5,,,,3440597760.0,,
1,6,,,,2893363200.0,,
1,7,,,,2471171072.0,,
,1,,,,,,3158798336.0
1,7,,,,,3158798336.0,
1,7,,,3158782720.0,,,
2,8,,,,3453956608.0,,
2,9,,,,3440592896.0,,
2,10,,,,2893358336.0,,
2,11,,,,2471165696.0,,
,2,,,,,,3158791680.0
2,11,,,,,3158791680.0,
2,11,,,3158777856.0,,,
3,12,,,,3453949440.0,,
3,13,,,,3440584192.0,,
3,14,,,,2893349632.0,,
3,15,,,,2471156736.0,,
,3,,,,,,3158780160.0
3,15,,,,,3158780160.0,
3,15,,,3158769664.0,,,
4,16,,,,3453937664.0,,
4,17,,,,3440570112.0,,
4,18,,,,2893334784.0,,
4,19,,,,2471141120.0,,
,4,,,,,,3158759680.0
4,19,,,,,3158759680.0,
4,19,,,3158755840.0,,,
5,20,,,,3453915648.0,,
5,21,,,,3440546304.0,,
5,22,,,,2893308672.0,,
5,23,,,,2471113472.0,,
,5,,,,,,3158722816.0
5,23,,,,,3158722816.0,
5,23,,,3158731520.0,,,
6,24,,,,3453877504.0,,
6,25,,,,3440501504.0,,
6,26,,,,2893262848.0,,
6,27,,,,2471063296.0,,
,6,,,,,,3158659584.0
6,27,,,,,3158659584.0,
6,27,,,3158687488.0,,,
7,28,,,,3453811968.0,,
7,29,,,,3440447232.0,,
7,30,,,,2893223936.0,,
7,31,,,,2471042560.0,,
,7,,,,,,3158650880.0
7,31,,,,,3158650880.0,
7,31,,,3158638592.0,,,
8,32,,,,3453802496.0,,
8,33,,,,3440436736.0,,
8,34,,,,2893214976.0,,
8,35,,,,2471033088.0,,
,8,,,,,,3158641408.0
8,35,,,,,3158641408.0,
8,35,,,3158629120.0,,,
9,36,,,,3453791488.0,,
9,37,,,,3440426240.0,,
9,38,,,,2893205760.0,,
9,39,,,,2471022848.0,,
,9,,,,,,3158630912.0
9,39,,,,,3158630912.0,
9,39,,,3158619136.0,,,
10,40,,,,3453780736.0,,
10,41,,,,3440416000.0,,
10,42,,,,2893197824.0,,
10,43,,,,2471014400.0,,
,10,,,,,,3158620416.0
10,43,,,,,3158620416.0,
10,43,,,3158609152.0,,,
11,44,,,,3453771008.0,,
11,45,,,,3440405248.0,,
11,46,,,,2893185792.0,,
11,47,,,,2471006976.0,,
,11,,,,,,3158608896.0
11,47,,,,,3158608896.0,
11,47,,,3158599168.0,,,
12,48,,,,3453759232.0,,
12,49,,,,3440393472.0,,
12,50,,,,2893171968.0,,
12,51,,,,2470993920.0,,
,12,,,,,,3158596864.0
12,51,,,,,3158596864.0,
12,51,,,3158586368.0,,,
13,52,,,,3453744384.0,,
13,53,,,,3440380928.0,,
13,54,,,,2893169408.0,,
13,55,,,,2470988544.0,,
,13,,,,,,3158595840.0
13,55,,,,,3158595840.0,
13,55,,,3158577152.0,,,
14,56,,,,3453745152.0,,
14,57,,,,3440381184.0,,
14,58,,,,2893168384.0,,
14,59,,,,2470987776.0,,
,14,,,,,,3158594560.0
14,59,,,,,3158594560.0,
14,59,,,3158576896.0,,,
15,60,,,,3453742848.0,,
15,61,,,,3440379904.0,,
15,62,,,,2893166080.0,,
15,63,,,,2470988544.0,,
,15,,,,,,3158593280.0
15,63,,,,,3158593280.0,
15,63,,,3158575360.0,,,
16,64,,,,3453742848.0,,
16,65,,,,3440378624.0,,
16,66,,,,2893164544.0,,
16,67,,,,2470986496.0,,
,16,,,,,,3158592256.0
16,67,,,,,3158592256.0,
16,67,,,3158574336.0,,,
17,68,,,,3453741824.0,,
17,69,,,,3440377856.0,,
17,70,,,,2893163776.0,,
17,71,,,,2470986240.0,,
,17,,,,,,3158591232.0
17,71,,,,,3158591232.0,
17,71,,,3158573568.0,,,
18,72,,,,3453738240.0,,
18,73,,,,3440376832.0,,
18,74,,,,2893161728.0,,
18,75,,,,2470985216.0,,
,18,,,,,,3158589696.0
18,75,,,,,3158589696.0,
18,75,,,3158571264.0,,,
19,76,,,,3453736448.0,,
19,77,,,,3440376576.0,,
19,78,,,,2893160448.0,,
19,79,,,,2470984448.0,,
,19,,,,,,3158589440.0
19,79,,,,,3158589696.0,
19,79,,,3158570496.0,,,
20,80,,,,3453736960.0,,
20,81,,,,3440376576.0,,
20,82,,,,2893161472.0,,
20,83,,,,2470985984.0,,
,20,,,,,,3158589440.0
20,83,,,,,3158589696.0,
20,83,,,3158571008.0,,,
21,84,,,,3453738752.0,,
21,85,,,,3440374272.0,,
21,86,,,,2893160960.0,,
21,87,,,,2470984960.0,,
,21,,,,,,3158589440.0
21,87,,,,,3158589696.0,
21,87,,,3158570496.0,,,
22,88,,,,3453737216.0,,
22,89,,,,3440376576.0,,
22,90,,,,2893161728.0,,
22,91,,,,2470982400.0,,
,22,,,,,,3158589440.0
22,91,,,,,3158589696.0,
22,91,,,3158570752.0,,,
23,92,,,,3453738240.0,,
23,93,,,,3440375808.0,,
23,94,,,,2893161216.0,,
23,95,,,,2470984192.0,,
,23,,,,,,3158589440.0
23,95,,,,,3158589696.0,
23,95,,,3158571008.0,,,
24,96,,,,3453736192.0,,
24,97,,,,3440374272.0,,
24,98,,,,2893161216.0,,
24,99,,,,2470981376.0,,
,24,,,,,,3158588928.0
24,99,,,,,3158588928.0,
24,99,,,3158569472.0,,,
25,100,,,,3453736448.0,,
25,101,,,,3440373760.0,,
25,102,,,,2893161216.0,,
25,103,,,,2470983680.0,,
,25,,,,,,3158588928.0
25,103,,,,,3158588928.0,
25,103,,,3158569472.0,,,
26,104,,,,3453736192.0,,
26,105,,,,3440377088.0,,
26,106,,,,2893161472.0,,
26,107,,,,2470985216.0,,
,26,,,,,,3158588928.0
26,107,,,,,3158588928.0,
26,107,,,3158571008.0,,,
27,108,,,,3453737728.0,,
27,109,,,,3440373504.0,,
27,110,,,,2893161216.0,,
27,111,,,,2470985472.0,,
,27,,,,,,3158588928.0
27,111,,,,,3158588928.0,
27,111,,,3158569984.0,,,
28,112,,,,3453738240.0,,
28,113,,,,3440376832.0,,
28,114,,,,2893161728.0,,
28,115,,,,2470984960.0,,
,28,,,,,,3158588928.0
28,115,,,,,3158588928.0,
28,115,,,3158571264.0,,,
