epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,289056096.0,,
0,1,,,,288427488.0,,
0,2,,,,254835024.0,,
0,3,,,,211427328.0,,
,0,,,,,,268767584.0
0,3,,,,,268767584.0,
0,3,,,268777280.0,,,
1,4,,,,289055104.0,,
1,5,,,,288426464.0,,
1,6,,,,254834048.0,,
1,7,,,,211426480.0,,
,1,,,,,,268766432.0
1,7,,,,,268766432.0,
1,7,,,268776320.0,,,
2,8,,,,289053888.0,,
2,9,,,,288425120.0,,
2,10,,,,254832688.0,,
2,11,,,,211425056.0,,
,2,,,,,,268764576.0
2,11,,,,,268764576.0,
2,11,,,268775008.0,,,
3,12,,,,289051968.0,,
3,13,,,,288422880.0,,
3,14,,,,254830368.0,,
3,15,,,,211422800.0,,
,3,,,,,,268761504.0
3,15,,,,,268761504.0,
3,15,,,268772800.0,,,
4,16,,,,289048672.0,,
4,17,,,,288419200.0,,
4,18,,,,254826384.0,,
4,19,,,,211418944.0,,
,4,,,,,,268756032.0
4,19,,,,,268756032.0,
4,19,,,268769152.0,,,
5,20,,,,289042976.0,,
5,21,,,,288412416.0,,
5,22,,,,254819584.0,,
5,23,,,,211412128.0,,
,5,,,,,,268746400.0
5,23,,,,,268746400.0,
5,23,,,268762656.0,,,
6,24,,,,289032512.0,,
6,25,,,,288400416.0,,
6,26,,,,254807376.0,,
6,27,,,,211399728.0,,
,6,,,,,,268729440.0
6,27,,,,,268729440.0,
6,27,,,268751008.0,,,
7,28,,,,289014656.0,,
7,29,,,,288380224.0,,
7,30,,,,254785360.0,,
7,31,,,,211378144.0,,
,7,,,,,,268700064.0
7,31,,,,,268700064.0,
7,31,,,268730784.0,,,
8,32,,,,288983456.0,,
8,33,,,,288344224.0,,
8,34,,,,254748512.0,,
8,35,,,,211342192.0,,
,8,,,,,,268649984.0
8,35,,,,,268649984.0,
8,35,,,268695904.0,,,
9,36,,,,288931264.0,,
9,37,,,,288284320.0,,
9,38,,,,254686128.0,,
9,39,,,,211280576.0,,
,9,,,,,,268566432.0
9,39,,,,,268566432.0,
9,39,,,268637312.0,,,
10,40,,,,288842720.0,,
10,41,,,,288184352.0,,
10,42,,,,254585536.0,,
10,43,,,,211181360.0,,
,10,,,,,,268434160.0
10,43,,,,,268434160.0,
10,43,,,268540576.0,,,
11,44,,,,288701632.0,,
11,45,,,,288030720.0,,
11,46,,,,254427216.0,,
11,47,,,,211034720.0,,
,11,,,,,,268235344.0
11,47,,,,,268235344.0,
11,47,,,268390128.0,,,
12,48,,,,288487168.0,,
12,49,,,,287794752.0,,
12,50,,,,254199424.0,,
12,51,,,,210813840.0,,
,12,,,,,,267941568.0
12,51,,,,,267941568.0,
12,51,,,268164752.0,,,
13,52,,,,288184064.0,,
13,53,,,,287452832.0,,
13,54,,,,253851792.0,,
13,55,,,,210489296.0,,
,13,,,,,,267511424.0
13,55,,,,,267511424.0,
13,55,,,267834672.0,,,
14,56,,,,287738272.0,,
14,57,,,,286952288.0,,
14,58,,,,253360768.0,,
14,59,,,,210036976.0,,
,14,,,,,,266904560.0
14,59,,,,,266904560.0,
14,59,,,267359072.0,,,
15,60,,,,287098400.0,,
15,61,,,,286264896.0,,
15,62,,,,252693440.0,,
15,63,,,,209375424.0,,
,15,,,,,,266086560.0
15,63,,,,,266086560.0,
15,63,,,266694656.0,,,
16,64,,,,286223680.0,,
16,65,,,,285321504.0,,
16,66,,,,251764192.0,,
16,67,,,,208535168.0,,
,16,,,,,,265020256.0
16,67,,,,,265020256.0,
16,67,,,265788784.0,,,
17,68,,,,285092640.0,,
17,69,,,,284131584.0,,
17,70,,,,250630336.0,,
17,71,,,,207501120.0,,
,17,,,,,,263643072.0
17,71,,,,,263643072.0,
17,71,,,264652592.0,,,
18,72,,,,283661248.0,,
18,73,,,,282611392.0,,
18,74,,,,249111008.0,,
18,75,,,,206125760.0,,
,18,,,,,,261845760.0
18,75,,,,,261845760.0,
18,75,,,263177376.0,,,
19,76,,,,281765408.0,,
19,77,,,,280555008.0,,
19,78,,,,247167776.0,,
19,79,,,,204245120.0,,
,19,,,,,,259497440.0
19,79,,,,,259497440.0,
19,79,,,261223296.0,,,
20,80,,,,279250400.0,,
20,81,,,,277861504.0,,
20,82,,,,244531504.0,,
20,83,,,,201951408.0,,
,20,,,,,,256440400.0
20,83,,,,,256440400.0,
20,83,,,258650560.0,,,
21,84,,,,275926912.0,,
21,85,,,,274567776.0,,
21,86,,,,241186992.0,,
21,87,,,,198923280.0,,
,21,,,,,,252515072.0
21,87,,,,,252515072.0,
21,87,,,255368352.0,,,
22,88,,,,271855808.0,,
22,89,,,,269989888.0,,
22,90,,,,236865536.0,,
22,91,,,,195204832.0,,
,22,,,,,,247569728.0
22,91,,,,,247569728.0,
22,91,,,251124240.0,,,
23,92,,,,266686960.0,,
23,93,,,,264723744.0,,
23,94,,,,231555264.0,,
23,95,,,,190377280.0,,
,23,,,,,,241458896.0
23,95,,,,,241458896.0,
23,95,,,245931056.0,,,
24,96,,,,260298752.0,,
24,97,,,,257693824.0,,
24,98,,,,225583552.0,,
24,99,,,,184608464.0,,
,24,,,,,,234040528.0
24,99,,,,,234040528.0,
24,99,,,239558896.0,,,
25,100,,,,252064480.0,,
25,101,,,,249158752.0,,
25,102,,,,217532048.0,,
25,103,,,,178012880.0,,
,25,,,,,,225186992.0
25,103,,,,,225186992.0,
25,103,,,231505472.0,,,
26,104,,,,242778448.0,,
26,105,,,,239285184.0,,
26,106,,,,208188608.0,,
26,107,,,,169450816.0,,
,26,,,,,,214811088.0
26,107,,,,,214811088.0,
26,107,,,222127680.0,,,
27,108,,,,232323056.0,,
27,109,,,,228002128.0,,
27,110,,,,197807040.0,,
27,111,,,,160525184.0,,
,27,,,,,,202896816.0
27,111,,,,,202896816.0,
27,111,,,211654720.0,,,
28,112,,,,219273296.0,,
28,113,,,,215771280.0,,
28,114,,,,185376720.0,,
28,115,,,,149929264.0,,
,28,,,,,,189491888.0
28,115,,,,,189491888.0,
28,115,,,199343504.0,,,
29,116,,,,204719456.0,,
29,117,,,,200050688.0,,
29,118,,,,172580832.0,,
29,119,,,,139061424.0,,
,29,,,,,,174738976.0
29,119,,,,,174738976.0,
29,119,,,185444544.0,,,
30,120,,,,189199888.0,,
30,121,,,,183552448.0,,
30,122,,,,157839552.0,,
30,123,,,,126747968.0,,
,30,,,,,,158921472.0
30,123,,,,,158921472.0,
30,123,,,170287664.0,,,
31,124,,,,171359344.0,,
31,125,,,,166407360.0,,
31,126,,,,142506272.0,,
31,127,,,,114697896.0,,
,31,,,,,,142460064.0
31,127,,,,,142460064.0,
31,127,,,154134432.0,,,
32,128,,,,153014016.0,,
32,129,,,,149081072.0,,
32,130,,,,127229328.0,,
32,131,,,,101734400.0,,
,32,,,,,,125929784.0
32,131,,,,,125929784.0,
32,131,,,137679008.0,,,
33,132,,,,136303488.0,,
33,133,,,,131842936.0,,
33,134,,,,111728600.0,,
33,135,,,,91175248.0,,
,33,,,,,,110004544.0
33,135,,,,,110004544.0,
33,135,,,121973240.0,,,
34,136,,,,117774552.0,,
34,137,,,,113750896.0,,
34,138,,,,97339272.0,,
34,139,,,,80090168.0,,
,34,,,,,,95376184.0
34,139,,,,,95376184.0,
34,139,,,105746408.0,,,
35,140,,,,102342448.0,,
35,141,,,,96228400.0,,
35,142,,,,84603936.0,,
35,143,,,,71853648.0,,
,35,,,,,,82610400.0
35,143,,,,,82610400.0,
35,143,,,91434128.0,,,
36,144,,,,88670080.0,,
36,145,,,,84016048.0,,
36,146,,,,74437144.0,,
36,147,,,,64866400.0,,
,36,,,,,,71932096.0
36,147,,,,,71932096.0,
36,147,,,80076984.0,,,
37,148,,,,76220392.0,,
37,149,,,,72111032.0,,
37,150,,,,65789708.0,,
37,151,,,,59807404.0,,
,37,,,,,,63187752.0
37,151,,,,,63187752.0,
37,151,,,69855960.0,,,
38,152,,,,66351740.0,,
38,153,,,,62637920.0,,
38,154,,,,58938648.0,,
38,155,,,,55646560.0,,
,38,,,,,,55946004.0
38,155,,,,,55946004.0,
38,155,,,61724720.0,,,
39,156,,,,57771360.0,,
39,157,,,,54574792.0,,
39,158,,,,52712456.0,,
39,159,,,,51262000.0,,
,39,,,,,,49724004.0
39,159,,,,,49724004.0,
39,159,,,54526468.0,,,
40,160,,,,50501952.0,,
40,161,,,,48325556.0,,
40,162,,,,46998304.0,,
40,163,,,,47432336.0,,
,40,,,,,,44168304.0
40,163,,,,,44168304.0,
40,163,,,48454252.0,,,
41,164,,,,45360896.0,,
41,165,,,,42381136.0,,
41,166,,,,42460384.0,,
41,167,,,,42309024.0,,
,41,,,,,,39132704.0
41,167,,,,,39132704.0,
41,167,,,43257540.0,,,
42,168,,,,39650748.0,,
42,169,,,,37703956.0,,
42,170,,,,37463604.0,,
42,171,,,,37769652.0,,
,42,,,,,,34600864.0
42,171,,,,,34600864.0,
42,171,,,38206748.0,,,
43,172,,,,35502548.0,,
43,173,,,,33144434.0,,
43,174,,,,33862780.0,,
43,175,,,,33175846.0,,
,43,,,,,,30581078.0
43,175,,,,,30581078.0,
43,175,,,34039476.0,,,
44,176,,,,31552068.0,,
44,177,,,,29598528.0,,
44,178,,,,29983292.0,,
44,179,,,,28962834.0,,
,44,,,,,,27038946.0
44,179,,,,,27038946.0,
44,179,,,30192268.0,,,
45,180,,,,28197714.0,,
45,181,,,,25947756.0,,
45,182,,,,26619040.0,,
45,183,,,,25573994.0,,
,45,,,,,,23911870.0
45,183,,,,,23911870.0,
45,183,,,26744682.0,,,
46,184,,,,24606118.0,,
46,185,,,,23259750.0,,
46,186,,,,23663410.0,,
46,187,,,,22636056.0,,
,46,,,,,,21141504.0
46,187,,,,,21141504.0,
46,187,,,23684702.0,,,
47,188,,,,22106938.0,,
47,189,,,,20705394.0,,
47,190,,,,20761996.0,,
47,191,,,,20464918.0,,
,47,,,,,,18680896.0
47,191,,,,,18680896.0,
47,191,,,21096108.0,,,
48,192,,,,19446032.0,,
48,193,,,,18685460.0,,
48,194,,,,18713886.0,,
48,195,,,,18400242.0,,
,48,,,,,,16506931.0
48,195,,,,,16506931.0,
48,195,,,18876520.0,,,
