epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,289056160.0,,
0,1,,,,288427520.0,,
0,2,,,,254835120.0,,
0,3,,,,211427456.0,,
,0,,,,,,268767712.0
0,3,,,,,268767712.0,
0,3,,,268777376.0,,,
1,4,,,,289055232.0,,
1,5,,,,288426592.0,,
1,6,,,,254834144.0,,
1,7,,,,211426512.0,,
,1,,,,,,268766464.0
1,7,,,,,268766464.0,
1,7,,,268776448.0,,,
2,8,,,,289053952.0,,
2,9,,,,288425056.0,,
2,10,,,,254832608.0,,
2,11,,,,211424992.0,,
,2,,,,,,268764384.0
2,11,,,,,268764384.0,
2,11,,,268775008.0,,,
3,12,,,,289051744.0,,
3,13,,,,288422656.0,,
3,14,,,,254829968.0,,
3,15,,,,211422464.0,,
,3,,,,,,268760896.0
3,15,,,,,268760896.0,
3,15,,,268772544.0,,,
4,16,,,,289048032.0,,
4,17,,,,288418432.0,,
4,18,,,,254825520.0,,
4,19,,,,211417984.0,,
,4,,,,,,268754752.0
4,19,,,,,268754752.0,
4,19,,,268768384.0,,,
5,20,,,,289041536.0,,
5,21,,,,288410880.0,,
5,22,,,,254817776.0,,
5,23,,,,211410240.0,,
,5,,,,,,268743904.0
5,23,,,,,268743904.0,
5,23,,,268761056.0,,,
6,24,,,,289030048.0,,
6,25,,,,288397824.0,,
6,26,,,,254803840.0,,
6,27,,,,211396384.0,,
,6,,,,,,268724992.0
6,27,,,,,268724992.0,
6,27,,,268748064.0,,,
7,28,,,,289010432.0,,
7,29,,,,288374656.0,,
7,30,,,,254779872.0,,
7,31,,,,211372912.0,,
,7,,,,,,268692288.0
7,31,,,,,268692288.0,
7,31,,,268725664.0,,,
8,32,,,,288976160.0,,
8,33,,,,288335264.0,,
8,34,,,,254738864.0,,
8,35,,,,211331952.0,,
,8,,,,,,268635584.0
8,35,,,,,268635584.0,
8,35,,,268687104.0,,,
9,36,,,,288916096.0,,
9,37,,,,288267584.0,,
9,38,,,,254665216.0,,
9,39,,,,211261680.0,,
,9,,,,,,268539712.0
9,39,,,,,268539712.0,
9,39,,,268619520.0,,,
10,40,,,,288815200.0,,
10,41,,,,288152864.0,,
10,42,,,,254549904.0,,
10,43,,,,211147840.0,,
,10,,,,,,268387520.0
10,43,,,,,268387520.0,
10,43,,,268508768.0,,,
11,44,,,,288652256.0,,
11,45,,,,287970880.0,,
11,46,,,,254366432.0,,
11,47,,,,210968192.0,,
,11,,,,,,268152000.0
11,47,,,,,268152000.0,
11,47,,,268332160.0,,,
12,48,,,,288403360.0,,
12,49,,,,287696768.0,,
12,50,,,,254086528.0,,
12,51,,,,210707920.0,,
,12,,,,,,267786160.0
12,51,,,,,267786160.0,
12,51,,,268065488.0,,,
13,52,,,,288008544.0,,
13,53,,,,287259680.0,,
13,54,,,,253660816.0,,
13,55,,,,210293568.0,,
,13,,,,,,267234560.0
13,55,,,,,267234560.0,
13,55,,,267646928.0,,,
14,56,,,,287430656.0,,
14,57,,,,286631200.0,,
14,58,,,,253008464.0,,
14,59,,,,209694848.0,,
,14,,,,,,266438320.0
14,59,,,,,266438304.0,
14,59,,,267030080.0,,,
15,60,,,,286592224.0,,
15,61,,,,285724160.0,,
15,62,,,,252129664.0,,
15,63,,,,208838736.0,,
,15,,,,,,265328640.0
15,63,,,,,265328640.0,
15,63,,,266157808.0,,,
16,64,,,,285452096.0,,
16,65,,,,284442208.0,,
16,66,,,,250866464.0,,
16,67,,,,207669744.0,,
,16,,,,,,263804736.0
16,67,,,,,263804736.0,
16,67,,,264937136.0,,,
17,68,,,,283862048.0,,
17,69,,,,282731616.0,,
17,70,,,,249129056.0,,
17,71,,,,206099216.0,,
,17,,,,,,261706160.0
17,71,,,,,261706160.0,
17,71,,,263272080.0,,,
18,72,,,,281592832.0,,
18,73,,,,280282304.0,,
18,74,,,,246774720.0,,
18,75,,,,203863920.0,,
,18,,,,,,258830464.0
18,75,,,,,258830464.0,
18,75,,,260930512.0,,,
19,76,,,,278509056.0,,
19,77,,,,276928256.0,,
19,78,,,,243577776.0,,
19,79,,,,200991024.0,,
,19,,,,,,254950224.0
19,79,,,,,254950224.0,
19,79,,,257763376.0,,,
20,80,,,,274443168.0,,
20,81,,,,272534848.0,,
20,82,,,,239248944.0,,
20,83,,,,197145712.0,,
,20,,,,,,249795552.0
20,83,,,,,249795552.0,
20,83,,,253555440.0,,,
21,84,,,,268887232.0,,
21,85,,,,266776624.0,,
21,86,,,,233630176.0,,
21,87,,,,191919344.0,,
,21,,,,,,243089856.0
21,87,,,,,243089856.0,
21,87,,,247965984.0,,,
22,88,,,,261698048.0,,
22,89,,,,259494448.0,,
22,90,,,,226262256.0,,
22,91,,,,185362800.0,,
,22,,,,,,234586848.0
22,91,,,,,234586848.0,
22,91,,,240781120.0,,,
23,92,,,,253171600.0,,
23,93,,,,249582320.0,,
23,94,,,,217421504.0,,
23,95,,,,177258640.0,,
,23,,,,,,224070544.0
23,95,,,,,224070544.0,
23,95,,,231817776.0,,,
24,96,,,,241835488.0,,
24,97,,,,237713280.0,,
24,98,,,,206205680.0,,
24,99,,,,167512032.0,,
,24,,,,,,211420976.0
24,99,,,,,211420976.0,
24,99,,,220570736.0,,,
25,100,,,,228093424.0,,
25,101,,,,223740560.0,,
25,102,,,,193527760.0,,
25,103,,,,155261552.0,,
,25,,,,,,196635648.0
25,103,,,,,196635632.0,
25,103,,,207265776.0,,,
26,104,,,,212886960.0,,
26,105,,,,207388864.0,,
26,106,,,,178149840.0,,
26,107,,,,142661408.0,,
,26,,,,,,179907216.0
26,107,,,,,179907216.0,
26,107,,,192020016.0,,,
27,108,,,,194539552.0,,
27,109,,,,188463824.0,,
27,110,,,,161046432.0,,
27,111,,,,129403512.0,,
,27,,,,,,161650176.0
27,111,,,,,161650176.0,
27,111,,,174533440.0,,,
28,112,,,,175223904.0,,
28,113,,,,169177696.0,,
28,114,,,,143531216.0,,
28,115,,,,114541296.0,,
,28,,,,,,142554784.0
28,115,,,,,142554784.0,
28,115,,,156332112.0,,,
29,116,,,,153889024.0,,
29,117,,,,148183920.0,,
29,118,,,,124844416.0,,
29,119,,,,101155984.0,,
,29,,,,,,123513408.0
29,119,,,,,123513408.0,
29,119,,,136906032.0,,,
30,120,,,,133903344.0,,
30,121,,,,127203016.0,,
30,122,,,,107976904.0,,
30,123,,,,87541280.0,,
,30,,,,,,105588272.0
30,123,,,,,105588272.0,
30,123,,,118371160.0,,,
31,124,,,,114410736.0,,
31,125,,,,108253720.0,,
31,126,,,,92873704.0,,
31,127,,,,77581448.0,,
,31,,,,,,89802656.0
31,127,,,,,89802656.0,
31,127,,,101557928.0,,,
32,128,,,,95673696.0,,
32,129,,,,90781208.0,,
32,130,,,,79379584.0,,
32,131,,,,69008752.0,,
,32,,,,,,76809296.0
32,131,,,,,76809296.0,
32,131,,,86039192.0,,,
33,132,,,,81536160.0,,
33,133,,,,77063328.0,,
33,134,,,,69454464.0,,
33,135,,,,63221496.0,,
,33,,,,,,66581172.0
33,135,,,,,66581172.0,
33,135,,,74338808.0,,,
34,136,,,,69399168.0,,
34,137,,,,65669744.0,,
34,138,,,,61722952.0,,
34,139,,,,58753088.0,,
,34,,,,,,58488064.0
34,139,,,,,58488068.0,
34,139,,,64699184.0,,,
35,140,,,,60588800.0,,
35,141,,,,57019556.0,,
35,142,,,,55219272.0,,
35,143,,,,54775036.0,,
,35,,,,,,51679772.0
35,143,,,,,51679776.0,
35,143,,,57237300.0,,,
36,144,,,,53473480.0,,
36,145,,,,49896740.0,,
36,146,,,,49507720.0,,
36,147,,,,48994352.0,,
,36,,,,,,45564376.0
36,147,,,,,45564376.0,
36,147,,,50701468.0,,,
37,148,,,,46285304.0,,
37,149,,,,43471288.0,,
37,150,,,,44233388.0,,
37,151,,,,44497788.0,,
,37,,,,,,39953480.0
37,151,,,,,39953480.0,
37,151,,,44641604.0,,,
38,152,,,,40577628.0,,
38,153,,,,38310528.0,,
38,154,,,,38712864.0,,
38,155,,,,38036464.0,,
,38,,,,,,34908080.0
38,155,,,,,34908080.0,
38,155,,,39047612.0,,,
39,156,,,,35994912.0,,
39,157,,,,33487530.0,,
39,158,,,,33730656.0,,
39,159,,,,33596696.0,,
,39,,,,,,30494952.0
39,159,,,,,30494952.0,
39,159,,,34298380.0,,,
40,160,,,,31306590.0,,
40,161,,,,29703742.0,,
40,162,,,,30180882.0,,
40,163,,,,29018628.0,,
,40,,,,,,26669826.0
40,163,,,,,26669826.0,
40,163,,,30216190.0,,,
41,164,,,,28089366.0,,
41,165,,,,26110966.0,,
41,166,,,,25805022.0,,
41,167,,,,25172970.0,,
,41,,,,,,23334584.0
41,167,,,,,23334586.0,
41,167,,,26472212.0,,,
42,168,,,,24508702.0,,
42,169,,,,22351514.0,,
42,170,,,,23339134.0,,
42,171,,,,21728680.0,,
,42,,,,,,20402264.0
42,171,,,,,20402264.0,
42,171,,,23180498.0,,,
43,172,,,,21730872.0,,
43,173,,,,20520896.0,,
43,174,,,,20497394.0,,
43,175,,,,19684162.0,,
,43,,,,,,17820220.0
43,175,,,,,17820220.0,
43,175,,,20754692.0,,,
44,176,,,,18404766.0,,
44,177,,,,16878636.0,,
44,178,,,,17518790.0,,
44,179,,,,17367684.0,,
,44,,,,,,15579845.0
44,179,,,,,15579845.0,
44,179,,,17570150.0,,,
45,180,,,,15962603.0,,
45,181,,,,15232469.0,,
45,182,,,,16148230.0,,
45,183,,,,15047280.0,,
,45,,,,,,13650346.0
45,183,,,,,13650346.0,
45,183,,,15684808.0,,,
