epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,137608496.0,,
0,1,,,,137053968.0,,
0,2,,,,114721016.0,,
0,3,,,,98252232.0,,
,0,,,,,,125656448.0
0,3,,,,,125656448.0,
0,3,,,125655464.0,,,
1,4,,,,137608256.0,,
1,5,,,,137053728.0,,
1,6,,,,114720792.0,,
1,7,,,,98252016.0,,
,1,,,,,,125656200.0
1,7,,,,,125656200.0,
1,7,,,125655232.0,,,
2,8,,,,137608000.0,,
2,9,,,,137053424.0,,
2,10,,,,114720480.0,,
2,11,,,,98251704.0,,
,2,,,,,,125655800.0
2,11,,,,,125655800.0,
2,11,,,125654936.0,,,
3,12,,,,137607568.0,,
3,13,,,,137052944.0,,
3,14,,,,114720000.0,,
3,15,,,,98251192.0,,
,3,,,,,,125655120.0
3,15,,,,,125655120.0,
3,15,,,125654464.0,,,
4,16,,,,137606864.0,,
4,17,,,,137052112.0,,
4,18,,,,114719144.0,,
4,19,,,,98250248.0,,
,4,,,,,,125653912.0
4,19,,,,,125653912.0,
4,19,,,125653648.0,,,
5,20,,,,137605616.0,,
5,21,,,,137050656.0,,
5,22,,,,114717608.0,,
5,23,,,,98248600.0,,
,5,,,,,,125651760.0
5,23,,,,,125651760.0,
5,23,,,125652192.0,,,
6,24,,,,137603408.0,,
6,25,,,,137048112.0,,
6,26,,,,114714912.0,,
6,27,,,,98245592.0,,
,6,,,,,,125647904.0
6,27,,,,,125647904.0,
6,27,,,125649656.0,,,
7,28,,,,137599296.0,,
7,29,,,,137044624.0,,
7,30,,,,114712464.0,,
7,31,,,,98244208.0,,
,7,,,,,,125647376.0
7,31,,,,,125647376.0,
7,31,,,125646552.0,,,
8,32,,,,137598704.0,,
8,33,,,,137044032.0,,
8,34,,,,114711976.0,,
8,35,,,,98243648.0,,
,8,,,,,,125646776.0
8,35,,,,,125646776.0,
8,35,,,125646008.0,,,
9,36,,,,137598080.0,,
9,37,,,,137043520.0,,
9,38,,,,114711480.0,,
9,39,,,,98243192.0,,
,9,,,,,,125646128.0
9,39,,,,,125646128.0,
9,39,,,125645480.0,,,
10,40,,,,137597472.0,,
10,41,,,,137042864.0,,
10,42,,,,114710688.0,,
10,43,,,,98242560.0,,
,10,,,,,,125645448.0
10,43,,,,,125645448.0,
10,43,,,125644792.0,,,
11,44,,,,137596672.0,,
11,45,,,,137042144.0,,
11,46,,,,114710072.0,,
11,47,,,,98241792.0,,
,11,,,,,,125644720.0
11,47,,,,,125644720.0,
11,47,,,125644080.0,,,
12,48,,,,137595984.0,,
12,49,,,,137041360.0,,
12,50,,,,114709352.0,,
12,51,,,,98241248.0,,
,12,,,,,,125643928.0
12,51,,,,,125643928.0,
12,51,,,125643360.0,,,
13,52,,,,137595008.0,,
13,53,,,,137040672.0,,
13,54,,,,114709016.0,,
13,55,,,,98241072.0,,
,13,,,,,,125643856.0
13,55,,,,,125643856.0,
13,55,,,125642768.0,,,
14,56,,,,137595024.0,,
14,57,,,,137040592.0,,
14,58,,,,114708840.0,,
14,59,,,,98240896.0,,
,14,,,,,,125643784.0
14,59,,,,,125643784.0,
14,59,,,125642672.0,,,
15,60,,,,137595024.0,,
15,61,,,,137040336.0,,
15,62,,,,114708704.0,,
15,63,,,,98240728.0,,
,15,,,,,,125643688.0
15,63,,,,,125643688.0,
15,63,,,125642536.0,,,
16,64,,,,137594816.0,,
16,65,,,,137040528.0,,
16,66,,,,114708680.0,,
16,67,,,,98240720.0,,
,16,,,,,,125643616.0
16,67,,,,,125643616.0,
16,67,,,125642520.0,,,
17,68,,,,137594768.0,,
17,69,,,,137040416.0,,
17,70,,,,114708616.0,,
17,71,,,,98240640.0,,
,17,,,,,,125643544.0
17,71,,,,,125643544.0,
17,71,,,125642456.0,,,
18,72,,,,137594880.0,,
18,73,,,,137040080.0,,
18,74,,,,114708440.0,,
18,75,,,,98240616.0,,
,18,,,,,,125643448.0
18,75,,,,,125643448.0,
18,75,,,125642336.0,,,
19,76,,,,137594512.0,,
19,77,,,,137040080.0,,
19,78,,,,114708584.0,,
19,79,,,,98240728.0,,
,19,,,,,,125643376.0
19,79,,,,,125643384.0,
19,79,,,125642280.0,,,
20,80,,,,137594544.0,,
20,81,,,,137040160.0,,
20,82,,,,114708440.0,,
20,83,,,,98240496.0,,
,20,,,,,,125643376.0
20,83,,,,,125643384.0,
20,83,,,125642240.0,,,
21,84,,,,137594496.0,,
21,85,,,,137039968.0,,
21,86,,,,114708472.0,,
21,87,,,,98240448.0,,
,21,,,,,,125643352.0
21,87,,,,,125643352.0,
21,87,,,125642176.0,,,
22,88,,,,137594320.0,,
22,89,,,,137040080.0,,
22,90,,,,114708384.0,,
22,91,,,,98240608.0,,
,22,,,,,,125643352.0
22,91,,,,,125643352.0,
22,91,,,125642152.0,,,
23,92,,,,137594576.0,,
23,93,,,,137039936.0,,
23,94,,,,114708416.0,,
23,95,,,,98240408.0,,
,23,,,,,,125643352.0
