epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,289056064.0,,
0,1,,,,288427552.0,,
0,2,,,,254835184.0,,
0,3,,,,211427632.0,,
,0,,,,,,268768000.0
0,3,,,,,268768000.0,
0,3,,,268777408.0,,,
1,4,,,,289055584.0,,
1,5,,,,288427072.0,,
1,6,,,,254834688.0,,
1,7,,,,211427184.0,,
,1,,,,,,268767392.0
1,7,,,,,268767392.0,
1,7,,,268776896.0,,,
2,8,,,,289054912.0,,
2,9,,,,288426304.0,,
2,10,,,,254833968.0,,
2,11,,,,211426448.0,,
,2,,,,,,268766400.0
2,11,,,,,268766400.0,
2,11,,,268776192.0,,,
3,12,,,,289053856.0,,
3,13,,,,288425120.0,,
3,14,,,,254832688.0,,
3,15,,,,211425232.0,,
,3,,,,,,268764704.0
3,15,,,,,268764704.0,
3,15,,,268775008.0,,,
4,16,,,,289052064.0,,
4,17,,,,288423072.0,,
4,18,,,,254830592.0,,
4,19,,,,211423168.0,,
,4,,,,,,268761792.0
4,19,,,,,268761792.0,
4,19,,,268773024.0,,,
5,20,,,,289048960.0,,
5,21,,,,288419488.0,,
5,22,,,,254826832.0,,
5,23,,,,211419536.0,,
,5,,,,,,268756608.0
5,23,,,,,268756608.0,
5,23,,,268769504.0,,,
6,24,,,,289043488.0,,
6,25,,,,288413056.0,,
6,26,,,,254820320.0,,
6,27,,,,211413120.0,,
,6,,,,,,268747392.0
6,27,,,,,268747392.0,
6,27,,,268763328.0,,,
7,28,,,,289033664.0,,
7,29,,,,288404992.0,,
7,30,,,,254814640.0,,
7,31,,,,211410048.0,,
,7,,,,,,268746112.0
7,31,,,,,268746112.0,
7,31,,,268756128.0,,,
8,32,,,,289032480.0,,
8,33,,,,288403648.0,,
8,34,,,,254813280.0,,
8,35,,,,211408928.0,,
,8,,,,,,268744736.0
8,35,,,,,268744736.0,
8,35,,,268754880.0,,,
9,36,,,,289030816.0,,
9,37,,,,288402368.0,,
9,38,,,,254811888.0,,
9,39,,,,211407632.0,,
,9,,,,,,268743264.0
9,39,,,,,268743264.0,
9,39,,,268753440.0,,,
10,40,,,,289029120.0,,
10,41,,,,288400480.0,,
10,42,,,,254810672.0,,
10,43,,,,211406496.0,,
,10,,,,,,268741664.0
10,43,,,,,268741664.0,
10,43,,,268751904.0,,,
11,44,,,,289027552.0,,
11,45,,,,288398752.0,,
11,46,,,,254809136.0,,
11,47,,,,211405200.0,,
,11,,,,,,268740064.0
11,47,,,,,268740064.0,
11,47,,,268750304.0,,,
12,48,,,,289025824.0,,
12,49,,,,288397024.0,,
12,50,,,,254807328.0,,
12,51,,,,211403664.0,,
,12,,,,,,268738304.0
12,51,,,,,268738304.0,
12,51,,,268748576.0,,,
13,52,,,,289024576.0,,
13,53,,,,288394944.0,,
13,54,,,,254805760.0,,
13,55,,,,211402304.0,,
,13,,,,,,268736544.0
13,55,,,,,268736544.0,
13,55,,,268747008.0,,,
14,56,,,,289022144.0,,
14,57,,,,288393216.0,,
14,58,,,,254804016.0,,
14,59,,,,211400576.0,,
,14,,,,,,268734624.0
14,59,,,,,268734624.0,
14,59,,,268745056.0,,,
15,60,,,,289020160.0,,
15,61,,,,288391392.0,,
15,62,,,,254802160.0,,
15,63,,,,211399056.0,,
,15,,,,,,268732640.0
15,63,,,,,268732640.0,
15,63,,,268743232.0,,,
16,64,,,,289018112.0,,
16,65,,,,288389312.0,,
16,66,,,,254800384.0,,
16,67,,,,211397840.0,,
,16,,,,,,268730592.0
16,67,,,,,268730592.0,
16,67,,,268741344.0,,,
17,68,,,,289015776.0,,
17,69,,,,288386816.0,,
17,70,,,,254797744.0,,
17,71,,,,211395936.0,,
,17,,,,,,268728384.0
17,71,,,,,268728384.0,
17,71,,,268738944.0,,,
18,72,,,,289013632.0,,
18,73,,,,288385088.0,,
18,74,,,,254796768.0,,
18,75,,,,211394784.0,,
,18,,,,,,268728160.0
18,75,,,,,268728160.0,
18,75,,,268737376.0,,,
19,76,,,,289013152.0,,
19,77,,,,288384960.0,,
19,78,,,,254796528.0,,
19,79,,,,211395152.0,,
,19,,,,,,268727936.0
19,79,,,,,268727936.0,
19,79,,,268737184.0,,,
20,80,,,,289012960.0,,
20,81,,,,288384800.0,,
20,82,,,,254796480.0,,
20,83,,,,211394832.0,,
,20,,,,,,268727712.0
20,83,,,,,268727712.0,
20,83,,,268737024.0,,,
21,84,,,,289012480.0,,
21,85,,,,288384352.0,,
21,86,,,,254796432.0,,
21,87,,,,211394608.0,,
,21,,,,,,268727456.0
21,87,,,,,268727456.0,
21,87,,,268736704.0,,,
22,88,,,,289012416.0,,
22,89,,,,288383808.0,,
22,90,,,,254796032.0,,
22,91,,,,211394432.0,,
,22,,,,,,268727232.0
22,91,,,,,268727232.0,
22,91,,,268736384.0,,,
23,92,,,,289012384.0,,
23,93,,,,288383552.0,,
23,94,,,,254795744.0,,
23,95,,,,211393856.0,,
,23,,,,,,268727008.0
23,95,,,,,268727008.0,
23,95,,,268736160.0,,,
24,96,,,,289011968.0,,
24,97,,,,288383776.0,,
24,98,,,,254795696.0,,
24,99,,,,211393968.0,,
,24,,,,,,268727008.0
24,99,,,,,268727008.0,
24,99,,,268736096.0,,,
25,100,,,,289011776.0,,
25,101,,,,288383936.0,,
25,102,,,,254795504.0,,
25,103,,,,211394032.0,,
,25,,,,,,268726976.0
25,103,,,,,268726976.0,
25,103,,,268736032.0,,,
26,104,,,,289011936.0,,
26,105,,,,288383744.0,,
26,106,,,,254795456.0,,
26,107,,,,211394016.0,,
,26,,,,,,268726944.0
26,107,,,,,268726944.0,
26,107,,,268736032.0,,,
27,108,,,,289012192.0,,
27,109,,,,288383296.0,,
27,110,,,,254795904.0,,
27,111,,,,211394176.0,,
,27,,,,,,268726912.0
27,111,,,,,268726912.0,
27,111,,,268736096.0,,,
28,112,,,,289011872.0,,
28,113,,,,288383904.0,,
28,114,,,,254795552.0,,
28,115,,,,211393856.0,,
,28,,,,,,268726912.0
28,115,,,,,268726912.0,
28,115,,,268736064.0,,,
29,116,,,,289011968.0,,
29,117,,,,288383328.0,,
29,118,,,,254795440.0,,
29,119,,,,211393792.0,,
,29,,,,,,268726912.0
29,119,,,,,268726912.0,
29,119,,,268735904.0,,,
30,120,,,,289011744.0,,
30,121,,,,288383456.0,,
30,122,,,,254795600.0,,
30,123,,,,211394000.0,,
,30,,,,,,268726912.0
30,123,,,,,268726912.0,
30,123,,,268735904.0,,,
31,124,,,,289011904.0,,
31,125,,,,288383328.0,,
31,126,,,,254795392.0,,
31,127,,,,211393792.0,,
,31,,,,,,268726912.0
31,127,,,,,268726912.0,
31,127,,,268735808.0,,,
32,128,,,,289011904.0,,
32,129,,,,288383616.0,,
32,130,,,,254795648.0,,
32,131,,,,211393920.0,,
,32,,,,,,268726912.0
32,131,,,,,268726912.0,
32,131,,,268736000.0,,,
33,132,,,,289011968.0,,
33,133,,,,288383488.0,,
33,134,,,,254795600.0,,
33,135,,,,211394176.0,,
,33,,,,,,268726880.0
33,135,,,,,268726880.0,
33,135,,,268736000.0,,,
34,136,,,,289011968.0,,
34,137,,,,288383680.0,,
34,138,,,,254795664.0,,
34,139,,,,211393760.0,,
,34,,,,,,268726880.0
34,139,,,,,268726880.0,
34,139,,,268736032.0,,,
35,140,,,,289011456.0,,
35,141,,,,288383328.0,,
35,142,,,,254795392.0,,
35,143,,,,211393952.0,,
,35,,,,,,268726880.0
35,143,,,,,268726880.0,
35,143,,,268735744.0,,,
36,144,,,,289011616.0,,
36,145,,,,288383072.0,,
36,146,,,,254795296.0,,
36,147,,,,211393920.0,,
,36,,,,,,268726880.0
36,147,,,,,268726880.0,
36,147,,,268735680.0,,,
37,148,,,,289011872.0,,
37,149,,,,288383328.0,,
37,150,,,,254795456.0,,
37,151,,,,211393600.0,,
,37,,,,,,268726880.0
37,151,,,,,268726880.0,
37,151,,,268735808.0,,,
38,152,,,,289011936.0,,
38,153,,,,288383328.0,,
38,154,,,,254795568.0,,
38,155,,,,211393968.0,,
,38,,,,,,268726880.0
38,155,,,,,268726880.0,
38,155,,,268735936.0,,,
39,156,,,,289011712.0,,
39,157,,,,288383520.0,,
39,158,,,,254795664.0,,
39,159,,,,211394112.0,,
,39,,,,,,268726880.0
39,159,,,,,268726880.0,
39,159,,,268735936.0,,,
40,160,,,,289011840.0,,
40,161,,,,288383232.0,,
40,162,,,,254795456.0,,
