epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,137608608.0,,
0,1,,,,137054080.0,,
0,2,,,,114721136.0,,
0,3,,,,98252328.0,,
,0,,,,,,125656520.0
0,3,,,,,125656520.0,
0,3,,,125655568.0,,,
1,4,,,,137608352.0,,
1,5,,,,137053776.0,,
1,6,,,,114720824.0,,
1,7,,,,98252032.0,,
,1,,,,,,125656160.0
1,7,,,,,125656160.0,
1,7,,,125655288.0,,,
2,8,,,,137607968.0,,
2,9,,,,137053344.0,,
2,10,,,,114720368.0,,
2,11,,,,98251552.0,,
,2,,,,,,125655536.0
2,11,,,,,125655536.0,
2,11,,,125654856.0,,,
3,12,,,,137607280.0,,
3,13,,,,137052576.0,,
3,14,,,,114719576.0,,
3,15,,,,98250680.0,,
,3,,,,,,125654392.0
3,15,,,,,125654392.0,
3,15,,,125654088.0,,,
4,16,,,,137606096.0,,
4,17,,,,137051168.0,,
4,18,,,,114718120.0,,
4,19,,,,98249112.0,,
,4,,,,,,125652328.0
4,19,,,,,125652328.0,
4,19,,,125652712.0,,,
5,20,,,,137603968.0,,
5,21,,,,137048720.0,,
5,22,,,,114715496.0,,
5,23,,,,98246264.0,,
,5,,,,,,125648664.0
5,23,,,,,125648664.0,
5,23,,,125650248.0,,,
6,24,,,,137600096.0,,
6,25,,,,137044288.0,,
6,26,,,,114710816.0,,
6,27,,,,98241416.0,,
,6,,,,,,125642240.0
6,27,,,,,125642232.0,
6,27,,,125645856.0,,,
7,28,,,,137593328.0,,
7,29,,,,137036384.0,,
7,30,,,,114702936.0,,
7,31,,,,98232808.0,,
,7,,,,,,125631328.0
7,31,,,,,125631328.0,
7,31,,,125638192.0,,,
8,32,,,,137581728.0,,
8,33,,,,137023488.0,,
8,34,,,,114689280.0,,
8,35,,,,98218872.0,,
,8,,,,,,125613592.0
8,35,,,,,125613592.0,
8,35,,,125625320.0,,,
9,36,,,,137563200.0,,
9,37,,,,137003040.0,,
9,38,,,,114668376.0,,
9,39,,,,98197208.0,,
,9,,,,,,125586128.0
9,39,,,,,125586128.0,
9,39,,,125605136.0,,,
10,40,,,,137534592.0,,
10,41,,,,136971024.0,,
10,42,,,,114636672.0,,
10,43,,,,98163328.0,,
,10,,,,,,125544952.0
10,43,,,,,125544952.0,
10,43,,,125573944.0,,,
11,44,,,,137491584.0,,
11,45,,,,136923120.0,,
11,46,,,,114587680.0,,
11,47,,,,98113432.0,,
,11,,,,,,125482872.0
11,47,,,,,125482872.0,
11,47,,,125526888.0,,,
12,48,,,,137426832.0,,
12,49,,,,136851392.0,,
12,50,,,,114513512.0,,
12,51,,,,98038648.0,,
,12,,,,,,125390112.0
12,51,,,,,125390104.0,
12,51,,,125456072.0,,,
13,52,,,,137329648.0,,
13,53,,,,136743408.0,,
13,54,,,,114409696.0,,
13,55,,,,97932192.0,,
,13,,,,,,125255856.0
13,55,,,,,125255856.0,
13,55,,,125352624.0,,,
14,56,,,,137187616.0,,
14,57,,,,136590576.0,,
14,58,,,,114256768.0,,
14,59,,,,97772016.0,,
,14,,,,,,125066792.0
14,59,,,,,125066792.0,
14,59,,,125201920.0,,,
15,60,,,,136992320.0,,
15,61,,,,136371696.0,,
15,62,,,,114040408.0,,
15,63,,,,97566904.0,,
,15,,,,,,124805392.0
15,63,,,,,124805392.0,
15,63,,,124992424.0,,,
16,64,,,,136717520.0,,
16,65,,,,136076560.0,,
16,66,,,,113753872.0,,
16,67,,,,97270880.0,,
,16,,,,,,124447592.0
16,67,,,,,124447592.0,
16,67,,,124705544.0,,,
17,68,,,,136336512.0,,
17,69,,,,135677328.0,,
17,70,,,,113342608.0,,
17,71,,,,96868776.0,,
,17,,,,,,123958968.0
17,71,,,,,123958968.0,
17,71,,,124307712.0,,,
18,72,,,,135858464.0,,
18,73,,,,135128272.0,,
18,74,,,,112815288.0,,
18,75,,,,96322144.0,,
,18,,,,,,123296256.0
18,75,,,,,123296264.0,
18,75,,,123785856.0,,,
19,76,,,,135125776.0,,
19,77,,,,134376384.0,,
19,78,,,,112086712.0,,
19,79,,,,95601064.0,,
,19,,,,,,122407344.0
19,79,,,,,122407344.0,
19,79,,,123050312.0,,,
20,80,,,,134214224.0,,
20,81,,,,133402528.0,,
20,82,,,,111094128.0,,
20,83,,,,94651648.0,,
,20,,,,,,121229296.0
20,83,,,,,121229296.0,
20,83,,,122092280.0,,,
21,84,,,,132958776.0,,
21,85,,,,132060632.0,,
21,86,,,,109829504.0,,
21,87,,,,93307088.0,,
,21,,,,,,119700632.0
21,87,,,,,119700632.0,
21,87,,,120797440.0,,,
22,88,,,,131329584.0,,
22,89,,,,130312952.0,,
22,90,,,,108209976.0,,
22,91,,,,91615816.0,,
,22,,,,,,117746392.0
22,91,,,,,117746392.0,
22,91,,,119128592.0,,,
23,92,,,,129309776.0,,
23,93,,,,128259240.0,,
23,94,,,,106046264.0,,
23,95,,,,89694656.0,,
,23,,,,,,115292688.0
23,95,,,,,115292688.0,
23,95,,,117070240.0,,,
24,96,,,,126654120.0,,
24,97,,,,125315256.0,,
24,98,,,,103360248.0,,
24,99,,,,87066256.0,,
,24,,,,,,112262656.0
24,99,,,,,112262648.0,
24,99,,,114325872.0,,,
25,100,,,,123522752.0,,
25,101,,,,122176104.0,,
25,102,,,,100241040.0,,
25,103,,,,83946120.0,,
,25,,,,,,108578000.0
25,103,,,,,108578000.0,
25,103,,,111197248.0,,,
26,104,,,,119627712.0,,
26,105,,,,118076640.0,,
26,106,,,,96465120.0,,
26,107,,,,80330912.0,,
,26,,,,,,104170000.0
26,107,,,,,104170000.0,
26,107,,,107314216.0,,,
27,108,,,,114909056.0,,
27,109,,,,113303368.0,,
27,110,,,,91978024.0,,
27,111,,,,76079272.0,,
,27,,,,,,98972776.0
27,111,,,,,98972776.0,
27,111,,,102708080.0,,,
28,112,,,,109368568.0,,
28,113,,,,107681528.0,,
28,114,,,,86349928.0,,
28,115,,,,71061352.0,,
,28,,,,,,92933144.0
28,115,,,,,92933144.0,
28,115,,,97187248.0,,,
29,116,,,,103131240.0,,
29,117,,,,100820000.0,,
29,118,,,,80479224.0,,
29,119,,,,64861556.0,,
,29,,,,,,86017312.0
29,119,,,,,86017304.0,
29,119,,,90880248.0,,,
30,120,,,,96016272.0,,
30,121,,,,93566368.0,,
30,122,,,,73436984.0,,
30,123,,,,58694344.0,,
,30,,,,,,78225672.0
30,123,,,,,78225672.0,
30,123,,,83870552.0,,,
31,124,,,,87512248.0,,
31,125,,,,84305848.0,,
31,126,,,,65695956.0,,
31,127,,,,51367196.0,,
,31,,,,,,69600160.0
31,127,,,,,69600160.0,
31,127,,,75522840.0,,,
32,128,,,,78446704.0,,
32,129,,,,75181704.0,,
32,130,,,,57078952.0,,
32,131,,,,43862476.0,,
,32,,,,,,60254848.0
32,131,,,,,60254848.0,
32,131,,,66775036.0,,,
33,132,,,,68328560.0,,
33,133,,,,65519072.0,,
33,134,,,,48158124.0,,
33,135,,,,35415356.0,,
,33,,,,,,50391152.0
33,135,,,,,50391152.0,
33,135,,,57354816.0,,,
34,136,,,,57695020.0,,
34,137,,,,54726948.0,,
34,138,,,,39383360.0,,
34,139,,,,27639302.0,,
,34,,,,,,40309976.0
34,139,,,,,40309976.0,
34,139,,,47588604.0,,,
35,140,,,,47217104.0,,
35,141,,,,44231308.0,,
35,142,,,,29481364.0,,
35,143,,,,19169864.0,,
,35,,,,,,30425314.0
35,143,,,,,30425314.0,
35,143,,,37535888.0,,,
36,144,,,,36981096.0,,
36,145,,,,32852486.0,,
36,146,,,,20467146.0,,
36,147,,,,11726871.0,,
,36,,,,,,21250006.0
36,147,,,,,21250004.0,
36,147,,,27689256.0,,,
37,148,,,,26389902.0,,
37,149,,,,23705654.0,,
37,150,,,,13764539.0,,
37,151,,,,6347569.5,,
,37,,,,,,13346418.0
37,151,,,,,13346418.0,
37,151,,,19326360.0,,,
38,152,,,,17344596.0,,
38,153,,,,15246968.0,,
38,154,,,,7441256.5,,
38,155,,,,2463553.5,,
,38,,,,,,7228717.5
38,155,,,,,7228717.5,
38,155,,,11916486.0,,,
39,156,,,,9650393.0,,
39,157,,,,8128989.5,,
39,158,,,,3802965.0,,
39,159,,,,584547.1875,,
,39,,,,,,3210920.0
39,159,,,,,3210920.0,
39,159,,,6326796.5,,,
40,160,,,,4744674.5,,
40,161,,,,4162587.25,,
40,162,,,,1613996.875,,
40,163,,,,434590.8125,,
,40,,,,,,1199727.75
40,163,,,,,1199727.75,
40,163,,,3103908.25,,,
41,164,,,,2210557.25,,
41,165,,,,1532298.25,,
41,166,,,,1310926.25,,
41,167,,,,1809765.125,,
,41,,,,,,666318.1875
41,167,,,,,666318.1875,
41,167,,,1701019.25,,,
42,168,,,,761071.8125,,
42,169,,,,718189.875,,
42,170,,,,1731216.25,,
42,171,,,,2880047.75,,
,42,,,,,,807631.1875
42,171,,,,,807631.1875,
42,171,,,1307656.0,,,
43,172,,,,475967.0625,,
43,173,,,,522247.625,,
43,174,,,,2391603.75,,
43,175,,,,3813157.0,,
,43,,,,,,964079.5
43,175,,,,,964079.5,
43,175,,,1482035.875,,,
44,176,,,,520426.09375,,
44,177,,,,347669.78125,,
44,178,,,,2159828.0,,
44,179,,,,2995972.25,,
,44,,,,,,859028.75
44,179,,,,,859028.75,
44,179,,,1270001.5,,,
45,180,,,,415679.90625,,
45,181,,,,546470.9375,,
45,182,,,,1975251.875,,
45,183,,,,2747800.75,,
,45,,,,,,703517.5625
45,183,,,,,703517.5625,
45,183,,,1211221.75,,,
46,184,,,,534674.875,,
46,185,,,,621558.9375,,
46,186,,,,1382772.875,,
46,187,,,,2170837.75,,
,46,,,,,,665465.25
46,187,,,,,665465.25,
46,187,,,1020139.0,,,
47,188,,,,914599.75,,
47,189,,,,1006466.6875,,
47,190,,,,1330645.25,,
47,191,,,,1401789.75,,
,47,,,,,,726859.25
47,191,,,,,726859.25,
47,191,,,1125617.5,,,
48,192,,,,883987.4375,,
48,193,,,,1297157.625,,
48,194,,,,839939.9375,,
48,195,,,,1285229.625,,
,48,,,,,,790458.625
48,195,,,,,790458.625,
48,195,,,1043534.4375,,,
49,196,,,,1286405.375,,
49,197,,,,1175486.75,,
49,198,,,,1031214.25,,
49,199,,,,1453217.125,,
,49,,,,,,807189.0
49,199,,,,,807189.0,
49,199,,,1202271.875,,,
50,200,,,,1217023.125,,
50,201,,,,1246562.875,,
50,202,,,,1073579.875,,
50,203,,,,1746426.125,,
,50,,,,,,795544.125
50,203,,,,,795544.125,
50,203,,,1253506.75,,,
51,204,,,,1271227.625,,
51,205,,,,1201468.25,,
51,206,,,,1145170.75,,
51,207,,,,1667342.25,,
,51,,,,,,773866.4375
51,207,,,,,773866.4375,
51,207,,,1266499.5,,,
52,208,,,,1304800.5,,
52,209,,,,1268358.375,,
52,210,,,,1455508.375,,
52,211,,,,1637713.375,,
,52,,,,,,746173.4375
52,211,,,,,746173.4375,
52,211,,,1381576.5,,,
53,212,,,,991496.125,,
53,213,,,,1217446.5,,
53,214,,,,1181099.0,,
53,215,,,,1409314.625,,
,53,,,,,,743720.1875
53,215,,,,,743720.1875,
53,215,,,1166664.125,,,
54,216,,,,1118194.5,,
54,217,,,,1100225.25,,
54,218,,,,1126228.25,,
54,219,,,,1411347.0,,
,54,,,,,,741031.5
54,219,,,,,741031.5,
54,219,,,1153785.25,,,
