epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
0,0,,,,137608608.0,,
0,1,,,,137054080.0,,
0,2,,,,114721128.0,,
0,3,,,,98252328.0,,
,0,,,,,,125656544.0
0,3,,,,,125656544.0,
0,3,,,125655568.0,,,
1,4,,,,137608368.0,,
1,5,,,,137053840.0,,
1,6,,,,114720928.0,,
1,7,,,,98252096.0,,
,1,,,,,,125656304.0
1,7,,,,,125656304.0,
1,7,,,125655344.0,,,
2,8,,,,137608080.0,,
2,9,,,,137053536.0,,
2,10,,,,114720616.0,,
2,11,,,,98251824.0,,
,2,,,,,,125655920.0
2,11,,,,,125655920.0,
2,11,,,125655048.0,,,
3,12,,,,137607728.0,,
3,13,,,,137053104.0,,
3,14,,,,114720168.0,,
3,15,,,,98251360.0,,
,3,,,,,,125655336.0
3,15,,,,,125655336.0,
3,15,,,125654632.0,,,
4,16,,,,137607056.0,,
4,17,,,,137052384.0,,
4,18,,,,114719416.0,,
4,19,,,,98250536.0,,
,4,,,,,,125654272.0
4,19,,,,,125654272.0,
4,19,,,125653912.0,,,
5,20,,,,137605984.0,,
5,21,,,,137051088.0,,
5,22,,,,114718080.0,,
5,23,,,,98249056.0,,
,5,,,,,,125652376.0
5,23,,,,,125652376.0,
5,23,,,125652640.0,,,
6,24,,,,137604016.0,,
6,25,,,,137048880.0,,
6,26,,,,114715672.0,,
6,27,,,,98246576.0,,
,6,,,,,,125649072.0
6,27,,,,,125649072.0,
6,27,,,125650408.0,,,
7,28,,,,137600544.0,,
7,29,,,,137045968.0,,
7,30,,,,114713760.0,,
7,31,,,,98245336.0,,
,7,,,,,,125648616.0
7,31,,,,,125648616.0,
7,31,,,125647840.0,,,
8,32,,,,137600048.0,,
8,33,,,,137045392.0,,
8,34,,,,114713224.0,,
8,35,,,,98244824.0,,
,8,,,,,,125648120.0
8,35,,,,,125648120.0,
8,35,,,125647304.0,,,
9,36,,,,137599424.0,,
9,37,,,,137044992.0,,
9,38,,,,114712792.0,,
9,39,,,,98244408.0,,
,9,,,,,,125647592.0
9,39,,,,,125647592.0,
9,39,,,125646832.0,,,
10,40,,,,137598896.0,,
10,41,,,,137044416.0,,
10,42,,,,114712120.0,,
10,43,,,,98243912.0,,
,10,,,,,,125647016.0
10,43,,,,,125647024.0,
10,43,,,125646256.0,,,
11,44,,,,137598288.0,,
11,45,,,,137043696.0,,
11,46,,,,114711800.0,,
11,47,,,,98243536.0,,
,11,,,,,,125646416.0
11,47,,,,,125646416.0,
11,47,,,125645728.0,,,
12,48,,,,137597840.0,,
12,49,,,,137043152.0,,
12,50,,,,114711096.0,,
12,51,,,,98242928.0,,
,12,,,,,,125645768.0
12,51,,,,,125645760.0,
12,51,,,125645152.0,,,
13,52,,,,137596912.0,,
13,53,,,,137042528.0,,
13,54,,,,114710816.0,,
13,55,,,,98242616.0,,
,13,,,,,,125645696.0
13,55,,,,,125645696.0,
13,55,,,125644576.0,,,
14,56,,,,137596992.0,,
14,57,,,,137042528.0,,
14,58,,,,114710712.0,,
14,59,,,,98242640.0,,
,14,,,,,,125645624.0
14,59,,,,,125645624.0,
14,59,,,125644576.0,,,
15,60,,,,137596960.0,,
15,61,,,,137042416.0,,
15,62,,,,114710488.0,,
15,63,,,,98242648.0,,
,15,,,,,,125645568.0
15,63,,,,,125645568.0,
15,63,,,125644464.0,,,
16,64,,,,137596992.0,,
16,65,,,,137042416.0,,
16,66,,,,114710552.0,,
16,67,,,,98242456.0,,
,16,,,,,,125645496.0
16,67,,,,,125645496.0,
16,67,,,125644488.0,,,
17,68,,,,137596704.0,,
17,69,,,,137042272.0,,
17,70,,,,114710376.0,,
17,71,,,,98242624.0,,
,17,,,,,,125645424.0
17,71,,,,,125645432.0,
17,71,,,125644320.0,,,
18,72,,,,137596768.0,,
18,73,,,,137042288.0,,
18,74,,,,114710240.0,,
18,75,,,,98242296.0,,
,18,,,,,,125645376.0
18,75,,,,,125645376.0,
18,75,,,125644256.0,,,
19,76,,,,137596512.0,,
19,77,,,,137042160.0,,
19,78,,,,114710464.0,,
19,79,,,,98242448.0,,
,19,,,,,,125645360.0
19,79,,,,,125645360.0,
19,79,,,125644224.0,,,
20,80,,,,137596656.0,,
20,81,,,,137042080.0,,
20,82,,,,114710288.0,,
20,83,,,,98242288.0,,
,20,,,,,,125645352.0
20,83,,,,,125645352.0,
20,83,,,125644168.0,,,
21,84,,,,137596528.0,,
21,85,,,,137042000.0,,
21,86,,,,114710288.0,,
21,87,,,,98242312.0,,
,21,,,,,,125645352.0
21,87,,,,,125645352.0,
21,87,,,125644112.0,,,
22,88,,,,137596656.0,,
22,89,,,,137042176.0,,
22,90,,,,114710296.0,,
22,91,,,,98242240.0,,
,22,,,,,,125645336.0
22,91,,,,,125645336.0,
22,91,,,125644208.0,,,
23,92,,,,137596656.0,,
23,93,,,,137042032.0,,
23,94,,,,114710304.0,,
23,95,,,,98242136.0,,
,23,,,,,,125645328.0
23,95,,,,,125645328.0,
23,95,,,125644152.0,,,
24,96,,,,137596592.0,,
24,97,,,,137042240.0,,
24,98,,,,114710344.0,,
24,99,,,,98242296.0,,
,24,,,,,,125645328.0
24,99,,,,,125645328.0,
24,99,,,125644224.0,,,
25,100,,,,137596640.0,,
25,101,,,,137042080.0,,
25,102,,,,114710304.0,,
25,103,,,,98242240.0,,
,25,,,,,,125645328.0
25,103,,,,,125645328.0,
25,103,,,125644168.0,,,
26,104,,,,137596448.0,,
26,105,,,,137042208.0,,
26,106,,,,114710200.0,,
26,107,,,,98242168.0,,
,26,,,,,,125645328.0
26,107,,,,,125645328.0,
26,107,,,125644112.0,,,
27,108,,,,137596560.0,,
27,109,,,,137042144.0,,
27,110,,,,114710360.0,,
27,111,,,,98242496.0,,
,27,,,,,,125645328.0
27,111,,,,,125645328.0,
27,111,,,125644224.0,,,
28,112,,,,137596656.0,,
28,113,,,,137042064.0,,
28,114,,,,114710288.0,,
28,115,,,,98242264.0,,
,28,,,,,,125645328.0
28,115,,,,,125645328.0,
28,115,,,125644168.0,,,
29,116,,,,137596544.0,,
29,117,,,,137042128.0,,
29,118,,,,114710216.0,,
29,119,,,,98242432.0,,
,29,,,,,,125645328.0
29,119,,,,,125645328.0,
29,119,,,125644152.0,,,
30,120,,,,137596448.0,,
30,121,,,,137042080.0,,
30,122,,,,114710288.0,,
30,123,,,,98242288.0,,
,30,,,,,,125645328.0
30,123,,,,,125645328.0,
30,123,,,125644112.0,,,
31,124,,,,137596704.0,,
31,125,,,,137042128.0,,
31,126,,,,114710288.0,,
31,127,,,,98242400.0,,
,31,,,,,,125645328.0
31,127,,,,,125645328.0,
31,127,,,125644224.0,,,
32,128,,,,137596656.0,,
32,129,,,,137042272.0,,
32,130,,,,114710240.0,,
32,131,,,,98242408.0,,
,32,,,,,,125645328.0
32,131,,,,,125645328.0,
32,131,,,125644232.0,,,
33,132,,,,137596720.0,,
33,133,,,,137042064.0,,
33,134,,,,114710400.0,,
33,135,,,,98242296.0,,
,33,,,,,,125645328.0
33,135,,,,,125645328.0,
33,135,,,125644224.0,,,
34,136,,,,137596464.0,,
34,137,,,,137042192.0,,
34,138,,,,114710240.0,,
34,139,,,,98242408.0,,
,34,,,,,,125645328.0
34,139,,,,,125645328.0,
34,139,,,125644160.0,,,
35,140,,,,137596656.0,,
35,141,,,,137042080.0,,
35,142,,,,114710352.0,,
35,143,,,,98242088.0,,
,35,,,,,,125645328.0
35,143,,,,,125645328.0,
35,143,,,125644160.0,,,
36,144,,,,137596448.0,,
36,145,,,,137042208.0,,
36,146,,,,114710320.0,,
36,147,,,,98242216.0,,
,36,,,,,,125645328.0
36,147,,,,,125645328.0,
36,147,,,125644160.0,,,
37,148,,,,137596656.0,,
37,149,,,,137042240.0,,
37,150,,,,114710160.0,,
37,151,,,,98242288.0,,
,37,,,,,,125645328.0
37,151,,,,,125645328.0,
37,151,,,125644192.0,,,
38,152,,,,137596592.0,,
38,153,,,,137041968.0,,
38,154,,,,114710240.0,,
38,155,,,,98242312.0,,
,38,,,,,,125645328.0
38,155,,,,,125645328.0,
38,155,,,125644112.0,,,
39,156,,,,137596704.0,,
39,157,,,,137042240.0,,
39,158,,,,114710328.0,,
39,159,,,,98242296.0,,
,39,,,,,,125645328.0
39,159,,,,,125645328.0,
39,159,,,125644256.0,,,
40,160,,,,137596480.0,,
40,161,,,,137042096.0,,
40,162,,,,114710320.0,,
40,163,,,,98242240.0,,
,40,,,,,,125645328.0
40,163,,,,,125645328.0,
40,163,,,125644152.0,,,
41,164,,,,137596656.0,,
41,165,,,,137042096.0,,
41,166,,,,114710304.0,,
41,167,,,,98242264.0,,
,41,,,,,,125645328.0
41,167,,,,,125645328.0,
41,167,,,125644192.0,,,
42,168,,,,137596608.0,,
42,169,,,,137042272.0,,
42,170,,,,114710328.0,,
42,171,,,,98242136.0,,
,42,,,,,,125645328.0
42,171,,,,,125645328.0,
42,171,,,125644216.0,,,
43,172,,,,137596560.0,,
43,173,,,,137042176.0,,
43,174,,,,114710304.0,,
43,175,,,,98242328.0,,
,43,,,,,,125645328.0
43,175,,,,,125645328.0,
43,175,,,125644192.0,,,
,0,,137596592.0,,,,
,1,,137042128.0,,,,
,2,,114710296.0,,,,
,3,,98242320.0,,,,
44,176,125644192.0,,,,,
